dbname	domain	ns_id	ns_name
angwiktionary_p	ang.wiktionary.org	10	Bysen
angwiktionary_p	ang.wiktionary.org	11	Bysengesprec
angwiktionary_p	ang.wiktionary.org	14	Flocc
angwiktionary_p	ang.wiktionary.org	15	Floccgesprec
angwiktionary_p	ang.wiktionary.org	1	Gesprec
angwiktionary_p	ang.wiktionary.org	12	Help
angwiktionary_p	ang.wiktionary.org	13	Helpgesprec
angwiktionary_p	ang.wiktionary.org	-2	Media
angwiktionary_p	ang.wiktionary.org	8	MediaWiki
angwiktionary_p	ang.wiktionary.org	9	MediaWiki talk
angwiktionary_p	ang.wiktionary.org	-1	Syndrig
angwiktionary_p	ang.wiktionary.org	2	User
angwiktionary_p	ang.wiktionary.org	3	User talk
angwiktionary_p	ang.wiktionary.org	4	Wiktionary
angwiktionary_p	ang.wiktionary.org	5	Wiktionary talk
anwiki_p	an.wikipedia.org	0	
anwiki_p	an.wikipedia.org	12	Aduya
anwiki_p	an.wikipedia.org	14	Categoría
anwiki_p	an.wikipedia.org	1	Descusión
anwiki_p	an.wikipedia.org	9	Descusión MediaWiki
anwiki_p	an.wikipedia.org	101	Descusión Portal
anwiki_p	an.wikipedia.org	5	Descusión Wikipedia
anwiki_p	an.wikipedia.org	13	Descusión aduya
anwiki_p	an.wikipedia.org	15	Descusión categoría
anwiki_p	an.wikipedia.org	7	Descusión imachen
anwiki_p	an.wikipedia.org	11	Descusión plantilla
anwiki_p	an.wikipedia.org	3	Descusión usuario
anwiki_p	an.wikipedia.org	-1	Espezial
anwiki_p	an.wikipedia.org	6	Imachen
anwiki_p	an.wikipedia.org	-2	Media
anwiki_p	an.wikipedia.org	8	MediaWiki
anwiki_p	an.wikipedia.org	10	Plantilla
anwiki_p	an.wikipedia.org	100	Portal
anwiki_p	an.wikipedia.org	2	Usuario
anwiki_p	an.wikipedia.org	4	Wikipedia
anwiktionary_p	an.wiktionary.org	0	
anwiktionary_p	an.wiktionary.org	12	Aduya
anwiktionary_p	an.wiktionary.org	14	Categoría
anwiktionary_p	an.wiktionary.org	1	Descusión
anwiktionary_p	an.wiktionary.org	9	Descusión MediaWiki
anwiktionary_p	an.wiktionary.org	5	Descusión Wiktionary
anwiktionary_p	an.wiktionary.org	13	Descusión aduya
anwiktionary_p	an.wiktionary.org	15	Descusión categoría
anwiktionary_p	an.wiktionary.org	7	Descusión imachen
anwiktionary_p	an.wiktionary.org	11	Descusión plantilla
anwiktionary_p	an.wiktionary.org	3	Descusión usuario
anwiktionary_p	an.wiktionary.org	-1	Espezial
anwiktionary_p	an.wiktionary.org	6	Imachen
anwiktionary_p	an.wiktionary.org	-2	Media
anwiktionary_p	an.wiktionary.org	8	MediaWiki
anwiktionary_p	an.wiktionary.org	10	Plantilla
anwiktionary_p	an.wiktionary.org	2	Usuario
anwiktionary_p	an.wiktionary.org	4	Wiktionary
arcwiki_p	arc.wikipedia.org	8	ܡܝܕܝܐܘܝܩܝ
arcwiki_p	arc.wikipedia.org	7	ܡܡܠܠܐ ܕܠܦܦܐ
arcwiki_p	arc.wikipedia.org	6	ܠܦܦܐ
arcwiki_p	arc.wikipedia.org	5	ܡܡܠܠܐ ܕܘܝܩܝܦܕܝܐ
arcwiki_p	arc.wikipedia.org	4	ܘܝܩܝܦܕܝܐ
arcwiki_p	arc.wikipedia.org	3	ܡܡܠܠܐ ܕܡܬܚܫܚܢܐ
arcwiki_p	arc.wikipedia.org	2	ܡܬܚܫܚܢܐ
arcwiki_p	arc.wikipedia.org	1	ܡܡܠܠܐ
arcwiki_p	arc.wikipedia.org	0	
arcwiki_p	arc.wikipedia.org	-1	ܕܝܠܢܝܐ
arcwiki_p	arc.wikipedia.org	-2	ܡܝܕܝܐ
arwiki_p	ar.wikipedia.org	0	
arwiki_p	ar.wikipedia.org	100	بوابة
arwiki_p	ar.wikipedia.org	14	تصنيف
arwiki_p	ar.wikipedia.org	-1	خاص
arwiki_p	ar.wikipedia.org	10	قالب
arwiki_p	ar.wikipedia.org	12	مساعدة
arwiki_p	ar.wikipedia.org	2	مستخدم
arwiki_p	ar.wikipedia.org	104	ملحق
arwiki_p	ar.wikipedia.org	6	ملف
arwiki_p	ar.wikipedia.org	-2	ميديا
arwiki_p	ar.wikipedia.org	8	ميدياويكي
arwiki_p	ar.wikipedia.org	1	نقاش
arwiki_p	ar.wikipedia.org	101	نقاش البوابة
arwiki_p	ar.wikipedia.org	15	نقاش التصنيف
arwiki_p	ar.wikipedia.org	11	نقاش القالب
arwiki_p	ar.wikipedia.org	13	نقاش المساعدة
arwiki_p	ar.wikipedia.org	3	نقاش المستخدم
arwiki_p	ar.wikipedia.org	105	نقاش الملحق
arwiki_p	ar.wikipedia.org	7	نقاش الملف
arwiki_p	ar.wikipedia.org	9	نقاش ميدياويكي
arwiki_p	ar.wikipedia.org	5	نقاش ويكيبيديا
arwiki_p	ar.wikipedia.org	4	ويكيبيديا
arwikibooks_p	ar.wikibooks.org	0	
arwikibooks_p	ar.wikibooks.org	14	تصنيف
arwikibooks_p	ar.wikibooks.org	-1	خاص
arwikibooks_p	ar.wikibooks.org	10	قالب
arwikibooks_p	ar.wikibooks.org	12	مساعدة
arwikibooks_p	ar.wikibooks.org	2	مستخدم
arwikibooks_p	ar.wikibooks.org	6	ملف
arwikibooks_p	ar.wikibooks.org	-2	ميديا
arwikibooks_p	ar.wikibooks.org	8	ميدياويكي
arwikibooks_p	ar.wikibooks.org	1	نقاش
arwikibooks_p	ar.wikibooks.org	15	نقاش التصنيف
arwikibooks_p	ar.wikibooks.org	11	نقاش القالب
arwikibooks_p	ar.wikibooks.org	13	نقاش المساعدة
arwikibooks_p	ar.wikibooks.org	3	نقاش المستخدم
arwikibooks_p	ar.wikibooks.org	7	نقاش الملف
arwikibooks_p	ar.wikibooks.org	9	نقاش ميدياويكي
arwikibooks_p	ar.wikibooks.org	5	نقاش ويكي الكتب
arwikibooks_p	ar.wikibooks.org	4	ويكي الكتب
arwikinews_p	ar.wikinews.org	0	
arwikinews_p	ar.wikinews.org	100	بوابة
arwikinews_p	ar.wikinews.org	14	تصنيف
arwikinews_p	ar.wikinews.org	102	تعليقات
arwikinews_p	ar.wikinews.org	-1	خاص
arwikinews_p	ar.wikinews.org	10	قالب
arwikinews_p	ar.wikinews.org	12	مساعدة
arwikinews_p	ar.wikinews.org	2	مستخدم
arwikinews_p	ar.wikinews.org	6	ملف
arwikinews_p	ar.wikinews.org	-2	ميديا
arwikinews_p	ar.wikinews.org	8	ميدياويكي
arwikinews_p	ar.wikinews.org	1	نقاش
arwikinews_p	ar.wikinews.org	101	نقاش البوابة
arwikinews_p	ar.wikinews.org	15	نقاش التصنيف
arwikinews_p	ar.wikinews.org	103	نقاش التعليقات
arwikinews_p	ar.wikinews.org	11	نقاش القالب
arwikinews_p	ar.wikinews.org	13	نقاش المساعدة
arwikinews_p	ar.wikinews.org	3	نقاش المستخدم
arwikinews_p	ar.wikinews.org	7	نقاش الملف
arwikinews_p	ar.wikinews.org	9	نقاش ميدياويكي
arwikinews_p	ar.wikinews.org	5	نقاش ويكي الأخبار
arwikinews_p	ar.wikinews.org	4	ويكي الأخبار
arwikiquote_p	ar.wikiquote.org	0	
arwikiquote_p	ar.wikiquote.org	14	تصنيف
arwikiquote_p	ar.wikiquote.org	-1	خاص
arwikiquote_p	ar.wikiquote.org	10	قالب
arwikiquote_p	ar.wikiquote.org	12	مساعدة
arwikiquote_p	ar.wikiquote.org	2	مستخدم
arwikiquote_p	ar.wikiquote.org	6	ملف
arwikiquote_p	ar.wikiquote.org	-2	ميديا
arwikiquote_p	ar.wikiquote.org	8	ميدياويكي
arwikiquote_p	ar.wikiquote.org	1	نقاش
arwikiquote_p	ar.wikiquote.org	15	نقاش التصنيف
arwikiquote_p	ar.wikiquote.org	11	نقاش القالب
arwikiquote_p	ar.wikiquote.org	13	نقاش المساعدة
arwikiquote_p	ar.wikiquote.org	3	نقاش المستخدم
arwikiquote_p	ar.wikiquote.org	7	نقاش الملف
arwikiquote_p	ar.wikiquote.org	9	نقاش ميدياويكي
arwikiquote_p	ar.wikiquote.org	5	نقاش ويكي الاقتباس
arwikiquote_p	ar.wikiquote.org	4	ويكي الاقتباس
arwikisource_p	ar.wikisource.org	0	
arwikisource_p	ar.wikisource.org	100	بوابة
arwikisource_p	ar.wikisource.org	14	تصنيف
arwikisource_p	ar.wikisource.org	-1	خاص
arwikisource_p	ar.wikisource.org	104	صفحة
arwikisource_p	ar.wikisource.org	106	فهرس
arwikisource_p	ar.wikisource.org	10	قالب
arwikisource_p	ar.wikisource.org	102	مؤلف
arwikisource_p	ar.wikisource.org	12	مساعدة
arwikisource_p	ar.wikisource.org	2	مستخدم
arwikisource_p	ar.wikisource.org	6	ملف
arwikisource_p	ar.wikisource.org	-2	ميديا
arwikisource_p	ar.wikisource.org	8	ميدياويكي
arwikisource_p	ar.wikisource.org	1	نقاش
arwikisource_p	ar.wikisource.org	101	نقاش البوابة
arwikisource_p	ar.wikisource.org	15	نقاش التصنيف
arwikisource_p	ar.wikisource.org	105	نقاش الصفحة
arwikisource_p	ar.wikisource.org	107	نقاش الفهرس
arwikisource_p	ar.wikisource.org	11	نقاش القالب
arwikisource_p	ar.wikisource.org	103	نقاش المؤلف
arwikisource_p	ar.wikisource.org	13	نقاش المساعدة
arwikisource_p	ar.wikisource.org	3	نقاش المستخدم
arwikisource_p	ar.wikisource.org	7	نقاش الملف
arwikisource_p	ar.wikisource.org	9	نقاش ميدياويكي
arwikisource_p	ar.wikisource.org	5	نقاش ويكي مصدر
arwikisource_p	ar.wikisource.org	4	ويكي مصدر
arwiktionary_p	ar.wiktionary.org	0	
arwiktionary_p	ar.wiktionary.org	14	تصنيف
arwiktionary_p	ar.wiktionary.org	-1	خاص
arwiktionary_p	ar.wiktionary.org	10	قالب
arwiktionary_p	ar.wiktionary.org	12	مساعدة
arwiktionary_p	ar.wiktionary.org	2	مستخدم
arwiktionary_p	ar.wiktionary.org	6	ملف
arwiktionary_p	ar.wiktionary.org	-2	ميديا
arwiktionary_p	ar.wiktionary.org	8	ميدياويكي
